Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),Daily_Return,7-Day_MA,30-Day_MA,Volatility,RSI,Upper_Band,Lower_Band
2023-12-22,21295.85,21390.5,21232.45,21349.4,284708918.0,27709.29,0.004438945097753333,21323.67142857143,20442.863333333335,0.0064792217237143665,71.02604252203588,21580.328754313658,21067.014102829202
2023-12-26,21365.2,21477.15,21329.45,21441.35,219467748.0,20081.33,0.004306912606443225,21360.62142857143,20510.063333333335,0.006474186975768924,69.48436473375835,21596.174195887987,21125.068661254874
2023-12-27,21497.65,21675.75,21495.8,21654.75,256542963.0,23059.25,0.009952731521102987,21388.92142857143,20581.036666666667,0.0065795249061958725,71.83018212545622,21710.28473210367,21067.558125039188
2023-12-28,21715.0,21801.45,21678.0,21778.7,393080755.0,35031.0,0.005723917385331179,21440.35714285714,20658.875,0.006427991288824226,75.32884495772768,21878.105683416583,21002.6086022977
2023-12-29,21737.65,21770.3,21676.9,21731.4,270922276.0,23697.88,-0.0021718468044464867,21480.114285714284,20727.406666666666,0.006328533283403078,72.30824796778175,21970.634301324557,20989.59427010401
2024-01-01,21727.75,21834.35,21680.85,21741.9,153995217.0,14184.09,0.0004831718158977427,21564.65,20793.29666666667,0.00634511902148527,72.01822757621323,21989.342947904748,21139.957052095255
2024-01-02,21751.35,21755.6,21555.65,21665.8,263711568.0,25316.13,-0.003500154080370299,21623.32857142857,20857.763333333332,0.006401600139722746,72.76363807257569,21950.76618816979,21295.89095468735
2024-01-03,21661.1,21677.0,21500.35,21517.35,311933117.0,32329.23,-0.0068518125340398806,21647.321428571428,20918.541666666668,0.0065965292697212135,66.59772112809927,21896.30346846689,21398.339388675966
2024-01-04,21605.8,21685.65,21564.55,21658.6,339172697.0,30868.15,0.006564470067178307,21678.35714285714,20981.048333333332,0.00662337659225611,64.20548737085183,21849.52675102966,21507.18753468462
2024-01-05,21705.75,21749.6,21629.2,21710.8,309303266.0,26554.49,0.002410128078453866,21686.364285714284,21044.346666666668,0.006617622899036623,58.73605720004335,21857.62430940433,21515.104262024237
2024-01-08,21747.6,21763.95,21492.9,21513.0,231452935.0,21140.94,-0.00911067302909152,21648.407142857144,21101.38,0.006956222975860207,53.07887189452562,21840.65537153195,21456.15891418234
