Date,Price,Open,High,Low,Change %
26-08-2024,6.851,6.854,6.854,6.848,-0.12%
23-08-2024,6.859,6.855,6.862,6.849,0.10%
22-08-2024,6.852,6.861,6.861,6.843,-0.01%
21-08-2024,6.853,6.849,6.859,6.846,-0.04%
20-08-2024,6.856,6.874,6.874,6.85,-0.12%
19-08-2024,6.864,6.871,6.871,6.86,-0.04%
16-08-2024,6.867,6.88,6.88,6.864,0.13%
14-08-2024,6.858,6.871,6.874,6.857,-0.32%
13-08-2024,6.88,6.869,6.887,6.869,0.01%
12-08-2024,6.879,6.881,6.881,6.87,-0.01%
09-08-2024,6.88,6.887,6.889,6.878,0.04%
08-08-2024,6.877,6.862,6.885,6.859,0.22%
07-08-2024,6.862,6.885,6.885,6.859,-0.15%
06-08-2024,6.872,6.87,6.88,6.867,0.17%
05-08-2024,6.86,6.862,6.865,6.844,-0.58%
02-08-2024,6.9,6.909,6.909,6.894,-0.23%
01-08-2024,6.916,6.912,6.919,6.909,-0.12%
31-07-2024,6.924,6.932,6.939,6.918,-0.10%
30-07-2024,6.931,6.926,6.934,6.91,0.17%
29-07-2024,6.919,6.942,6.942,6.913,-0.30%
26-07-2024,6.94,6.962,6.962,6.927,-0.17%
25-07-2024,6.952,6.974,6.974,6.952,-0.17%
24-07-2024,6.964,6.977,6.977,6.96,-0.09%
23-07-2024,6.97,6.972,6.987,6.952,0.04%
22-07-2024,6.967,6.982,6.982,6.966,0.03%
19-07-2024,6.965,6.976,6.976,6.962,-0.01%
18-07-2024,6.966,6.97,6.97,6.959,0.00%
16-07-2024,6.966,6.977,6.977,6.963,-0.21%
15-07-2024,6.981,7.005,7.005,6.977,-0.07%
12-07-2024,6.986,6.975,6.988,6.972,0.06%
11-07-2024,6.982,6.982,6.982,6.982,0.09%
10-07-2024,6.976,6.995,6.995,6.975,-0.19%
09-07-2024,6.989,7.006,7.006,6.983,0.00%
08-07-2024,6.989,6.989,6.991,6.983,-0.06%
05-07-2024,6.993,7.016,7.016,6.987,-0.07%
04-07-2024,6.998,6.992,7.001,6.989,-0.04%
03-07-2024,7.001,7.009,7.009,6.999,-0.11%
02-07-2024,7.009,7.009,7.009,7.009,-0.06%
01-07-2024,7.013,7.023,7.024,7.01,0.07%
28-06-2024,7.008,6.998,7.02,6.992,0.11%
27-06-2024,7.0,7.006,7.009,6.987,0.04%
26-06-2024,6.997,6.998,7.001,6.984,0.20%
25-06-2024,6.983,6.972,6.989,6.969,0.17%
24-06-2024,6.971,6.979,6.979,6.954,-0.03%
21-06-2024,6.973,6.984,6.984,6.972,-0.04%
20-06-2024,6.976,6.984,6.984,6.97,0.03%
19-06-2024,6.974,6.981,6.981,6.964,-0.10%
18-06-2024,6.981,6.998,6.998,6.981,-0.04%
14-06-2024,6.984,6.98,6.991,6.975,-0.03%
13-06-2024,6.986,7.003,7.003,6.985,-0.37%
12-06-2024,7.012,7.012,7.015,7.007,-0.03%
11-06-2024,7.014,7.055,7.055,7.012,-0.26%
10-06-2024,7.032,7.048,7.048,7.027,0.20%
07-06-2024,7.018,7.02,7.036,7.005,0.04%
06-06-2024,7.015,7.02,7.023,7.013,-0.16%
05-06-2024,7.026,7.034,7.054,7.023,-0.10%
04-06-2024,7.033,6.955,7.062,6.951,1.24%
03-06-2024,6.947,6.955,6.963,6.945,-0.56%
31-05-2024,6.986,6.991,6.994,6.98,-0.24%
30-05-2024,7.003,7.022,7.022,6.995,-0.07%
29-05-2024,7.008,7.02,7.02,6.987,0.19%
28-05-2024,6.995,6.981,6.998,6.971,0.20%
27-05-2024,6.981,7.016,7.016,6.967,-0.24%
24-05-2024,6.998,6.997,7.001,6.985,0.01%
22-05-2024,6.997,7.053,7.053,6.993,-1.14%
21-05-2024,7.078,7.101,7.101,7.069,-0.24%
17-05-2024,7.095,7.084,7.099,7.08,0.27%
16-05-2024,7.076,7.058,7.082,7.055,-0.14%
15-05-2024,7.086,7.103,7.103,7.082,-0.32%
14-05-2024,7.109,7.123,7.123,7.105,-0.10%
13-05-2024,7.116,7.134,7.134,7.114,-0.15%
10-05-2024,7.127,7.124,7.129,7.111,-0.11%
09-05-2024,7.135,7.148,7.148,7.125,-0.04%
08-05-2024,7.138,7.138,7.144,7.13,0.13%
07-05-2024,7.129,7.115,7.135,7.109,0.30%
06-05-2024,7.108,7.132,7.132,7.106,-0.57%
03-05-2024,7.149,7.16,7.163,7.147,-0.18%
02-05-2024,7.162,7.17,7.173,7.159,-0.46%
30-04-2024,7.195,7.199,7.205,7.185,-0.01%
29-04-2024,7.196,7.185,7.203,7.176,-0.04%
26-04-2024,7.199,7.238,7.238,7.188,-0.07%
25-04-2024,7.204,7.193,7.206,7.188,0.25%
24-04-2024,7.186,7.175,7.19,7.16,0.27%
23-04-2024,7.167,7.184,7.184,7.163,-0.35%
22-04-2024,7.192,7.241,7.242,7.188,-0.46%
19-04-2024,7.225,7.206,7.233,7.197,0.63%
18-04-2024,7.18,7.17,7.187,7.155,-0.18%
16-04-2024,7.193,7.193,7.2,7.185,0.25%
15-04-2024,7.175,7.193,7.193,7.16,-0.06%
12-04-2024,7.179,7.178,7.187,7.169,0.89%
10-04-2024,7.116,7.133,7.133,7.113,-0.53%
08-04-2024,7.154,7.141,7.162,7.135,0.52%
05-04-2024,7.117,7.088,7.121,7.088,0.32%
04-04-2024,7.094,7.119,7.119,7.09,-0.14%
03-04-2024,7.104,7.118,7.118,7.1,-0.06%
02-04-2024,7.108,7.085,7.116,7.075,0.79%
28-03-2024,7.052,7.031,7.055,7.031,-0.28%
27-03-2024,7.072,7.097,7.097,7.067,-0.24%
26-03-2024,7.089,7.091,7.1,7.079,0.03%
22-03-2024,7.087,7.062,7.096,7.055,0.52%
21-03-2024,7.05,7.08,7.08,7.048,-0.66%
20-03-2024,7.097,7.101,7.103,7.089,0.03%
19-03-2024,7.095,7.096,7.1,7.081,0.11%
18-03-2024,7.087,7.08,7.088,7.075,0.35%
15-03-2024,7.062,7.06,7.064,7.051,0.30%
14-03-2024,7.041,7.046,7.048,7.038,0.03%
13-03-2024,7.039,7.043,7.043,7.03,0.19%
12-03-2024,7.026,7.025,7.029,7.015,0.17%
11-03-2024,7.014,7.025,7.025,7.006,-0.24%
07-03-2024,7.031,7.054,7.054,7.026,-0.33%
06-03-2024,7.054,7.053,7.057,7.048,-0.04%
05-03-2024,7.057,7.066,7.066,7.053,-0.04%
04-03-2024,7.06,7.051,7.062,7.047,0.00%
01-03-2024,7.06,7.062,7.082,7.057,-0.25%
29-02-2024,7.078,7.059,7.082,7.057,0.18%
28-02-2024,7.065,7.076,7.076,7.06,-0.04%
27-02-2024,7.068,7.074,7.074,7.061,0.07%
26-02-2024,7.063,7.055,7.066,7.046,-0.20%
23-02-2024,7.077,7.074,7.081,7.062,0.21%
22-02-2024,7.062,7.062,7.076,7.045,0.24%
21-02-2024,7.045,7.065,7.065,7.038,-0.24%
20-02-2024,7.062,7.118,7.118,7.06,-0.52%
16-02-2024,7.099,7.097,7.103,7.075,0.20%
15-02-2024,7.085,7.104,7.104,7.079,-0.41%
14-02-2024,7.114,7.136,7.14,7.11,0.24%
13-02-2024,7.097,7.105,7.109,7.096,0.00%
12-02-2024,7.097,7.12,7.12,7.09,-0.24%
09-02-2024,7.114,7.091,7.118,7.075,0.45%
08-02-2024,7.082,7.073,7.092,7.048,0.11%
07-02-2024,7.074,7.075,7.078,7.064,-0.25%
06-02-2024,7.092,7.096,7.096,7.07,0.01%
05-02-2024,7.091,7.092,7.096,7.071,0.58%
02-02-2024,7.05,7.054,7.058,7.021,-0.20%
01-02-2024,7.064,7.129,7.135,7.039,-1.12%
31-01-2024,7.144,7.152,7.152,7.139,-0.15%
30-01-2024,7.155,7.164,7.164,7.147,-0.22%
29-01-2024,7.171,7.182,7.182,7.165,0.00%
25-01-2024,7.171,7.195,7.195,7.169,-0.14%
24-01-2024,7.181,7.186,7.186,7.17,0.10%
23-01-2024,7.174,7.172,7.177,7.166,-0.14%
19-01-2024,7.184,7.194,7.196,7.177,0.08%
18-01-2024,7.178,7.177,7.18,7.169,0.21%
17-01-2024,7.163,7.161,7.165,7.151,0.24%
16-01-2024,7.146,7.161,7.161,7.14,-0.03%
15-01-2024,7.148,7.153,7.153,7.134,-0.42%
12-01-2024,7.178,7.168,7.181,7.158,0.18%
11-01-2024,7.165,7.192,7.192,7.162,-0.18%
10-01-2024,7.178,7.192,7.192,7.176,-0.15%
09-01-2024,7.189,7.183,7.197,7.182,-0.19%
08-01-2024,7.203,7.233,7.233,7.201,-0.44%
05-01-2024,7.235,7.237,7.239,7.225,0.21%
04-01-2024,7.22,7.214,7.224,7.208,0.06%
03-01-2024,7.216,7.215,7.222,7.197,0.14%
02-01-2024,7.206,7.215,7.215,7.204,0.14%
01-01-2024,7.196,7.207,7.207,7.192,0.28%
29-12-2023,7.176,7.225,7.225,7.172,-0.43%
28-12-2023,7.207,7.2,7.213,7.191,0.03%
27-12-2023,7.205,7.191,7.208,7.182,0.31%
26-12-2023,7.183,7.213,7.213,7.177,-0.07%
22-12-2023,7.188,7.187,7.198,7.185,0.06%
21-12-2023,7.184,7.173,7.188,7.151,0.18%
20-12-2023,7.171,7.184,7.184,7.165,0.00%
19-12-2023,7.171,7.185,7.185,7.153,0.25%
18-12-2023,7.153,7.171,7.179,7.147,-0.14%
15-12-2023,7.163,7.204,7.206,7.155,-0.43%
14-12-2023,7.194,7.222,7.224,7.185,-0.90%
13-12-2023,7.259,7.262,7.269,7.257,-0.22%
12-12-2023,7.275,7.279,7.28,7.267,-0.08%
11-12-2023,7.281,7.287,7.287,7.273,0.21%
08-12-2023,7.266,7.249,7.271,7.226,0.41%
07-12-2023,7.236,7.248,7.248,7.233,-0.17%
06-12-2023,7.248,7.251,7.254,7.243,-0.19%
05-12-2023,7.262,7.275,7.275,7.256,-0.12%
04-12-2023,7.271,7.264,7.276,7.262,-0.26%
01-12-2023,7.29,7.293,7.298,7.279,0.15%
30-11-2023,7.279,7.25,7.287,7.248,0.37%
29-11-2023,7.252,7.258,7.258,7.237,-0.29%
28-11-2023,7.273,7.258,7.277,7.253,0.01%
24-11-2023,7.272,7.278,7.291,7.266,0.26%
23-11-2023,7.253,7.258,7.263,7.246,0.08%
22-11-2023,7.247,7.277,7.277,7.245,-0.30%
21-11-2023,7.269,7.247,7.272,7.237,0.23%
20-11-2023,7.252,7.23,7.257,7.224,0.55%
17-11-2023,7.212,7.226,7.23,7.194,-0.28%
16-11-2023,7.232,7.236,7.236,7.22,0.10%
15-11-2023,7.225,7.262,7.262,7.22,-0.80%
13-11-2023,7.283,7.316,7.316,7.281,-0.23%
10-11-2023,7.3,7.293,7.305,7.288,0.43%
09-11-2023,7.269,7.256,7.276,7.246,0.04%
08-11-2023,7.266,7.273,7.281,7.255,-0.19%
07-11-2023,7.28,7.318,7.318,7.277,-0.34%
06-11-2023,7.305,7.301,7.307,7.294,-0.16%
03-11-2023,7.317,7.324,7.324,7.309,-0.07%
02-11-2023,7.322,7.323,7.335,7.318,-0.49%
01-11-2023,7.358,7.376,7.376,7.352,0.10%
31-10-2023,7.351,7.365,7.366,7.346,-0.24%
30-10-2023,7.369,7.359,7.372,7.354,0.24%
27-10-2023,7.351,7.359,7.359,7.341,-0.20%
26-10-2023,7.366,7.377,7.377,7.36,0.31%
25-10-2023,7.343,7.343,7.349,7.333,-0.53%
23-10-2023,7.382,7.377,7.391,7.36,0.23%
20-10-2023,7.365,7.373,7.377,7.349,-0.05%
19-10-2023,7.369,7.381,7.381,7.365,0.22%
18-10-2023,7.353,7.352,7.36,7.341,0.34%
17-10-2023,7.328,7.349,7.349,7.309,-0.07%
16-10-2023,7.333,7.344,7.344,7.325,0.18%
